 MACD, MACD-C3,MA5, TS-9, TS-6,Corp 3,Corp2,MA10,Target,CLOSE,Date
0.04,1.04,-1.8,-1,-1,-1,-1,-1.45,0,219.5,22
0.05,0.05,-1.4,0,0,0,1,-1.35,-1,229.5,21
0.38,1.38,1.3,-1,-1,-1,1,-1.3,0,230,20
0.28,0.28,-0.2,0,0,0,1,-1.8,-1,237,19
0.45,1.45,1.8,0,0,-1,-1,-2.35,0,236,18
0.72,1.72,-1.1,0,0,-1,1,-1.9,0,236.5,17
0.39,1.39,-1.3,0,0,-1,-1,-2.6,0,238.5,16
-0.09,-1.09,-3.9,1,1,1,1,-3.2,0,237,15
-0.07,-1.07,-3.4,-1,-1,1,-1,-2.8,1,230.5,14
-1.03,-0.03,-6.5,1,1,-1,-1,-3.6,-1,237,13
-0.33,-1.33,-2.7,-1,-1,1,-1,-1.95,1,227.5,12
-0.69,-1.69,-3.9,0,0,1,-1,-1.8,-1,244,11
-0.49,-1.49,-2.5,-1,-1,1,-1,-1,0,243.5,10
-0.38,0.62,-2.2,-1,-1,-1,0,-0.4,-1,250,9
-0.17,0.83,-0.7,-1,-1,-1,-1,0.55,-1,254,8
-0.31,-1.31,-1.2,1,0,1,-1,-0.05,-1,260,7
-0.05,-0.05,0.3,-1,-1,0,-1,0.2,0,257.5,6
-0.04,0.96,0.5,0,0,-1,0,0.75,-1,263,5
0.16,-0.84,1.4,-1,0,1,1,0.45,0,262.5,4
0.11,1.11,1.8,0,0,-1,0,0.35,0,265,3
0.21,-0.79,1.1,0,0,1,0,-0.1,0,263.5,2
0.11,-0.89,0.1,0,0,1,0,-0.25,0,263.5,1
